product_id,name,price,quantity,category,description,production_date,expiration_date,status
10,Азовская,8165.0,607,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,1997-05-06,2007-08-05,Refunded
11,Ивантеевская,4024.0,120,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2009-01-13,2028-06-15,Awaiting Payment
13,Клинская,4982.0,27,Напитки,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",1995-06-13,2006-02-12,Pending
18,Уральская,1506.0,775,Напитки,Отличается легкостью в переваривании и усвоении организмом.,2020-01-27,2020-04-05,Delivered
21,Павловская,7375.0,403,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2014-01-20,2015-05-08,New
33,Коломенская,6782.0,9,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2013-01-02,2022-01-20,Delivered
34,Забайкальская,5958.0,172,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2003-05-11,2020-02-01,Cancelled
37,Рыбинская,7096.0,750,Напитки,"Является источником важных микроэлементов, таких как магний и калий.",1991-06-12,2010-02-10,Awaiting Payment
40,Смузи шпинатно-банановый,5602.0,800,Напитки,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2009-01-01,2016-09-08,Temporarily Unavailable
43,Тульская,1159.0,344,Напитки,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2011-07-05,2030-04-08,Out of Stock
53,Свалява,8107.0,902,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2008-03-03,2010-01-02,Out of Stock
54,Королевская,8828.0,180,Напитки,Помогает поддерживать нормальный уровень гемоглобина в крови.,2019-02-07,2020-01-01,Pending
69,Ростовская-на-Дону,6651.0,121,Напитки,Помогает улучшить когнитивные функции и память.,2011-02-03,2021-08-09,Shipping
72,Тоник,3255.0,589,Напитки,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",1996-01-03,2024-10-09,Temporarily Unavailable
73,Азовская,3273.0,432,Напитки,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2009-02-03,2022-04-02,In Stock
76,7UP,6836.0,181,Напитки,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1992-02-13,2027-02-07,Available for Pickup
85,Смузи шпинатно-банановый,3544.0,103,Напитки,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2007-05-15,2010-03-05,Awaiting Payment
89,Ивантеевская,5805.0,138,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2015-04-01,2018-02-26,Available for Pickup
93,Читинская,2516.0,854,Напитки,Помогает поддерживать нормальный уровень гемоглобина в крови.,2007-02-12,2030-04-02,New
94,Анапская,9762.0,991,Напитки,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2012-04-12,2026-05-17,Available for Pickup
119,Burn,283.0,260,Напитки,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2004-01-06,2030-01-15,Refunded
123,Анапская,8247.0,525,Напитки,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2005-08-03,2019-03-07,Pending
129,Керчь,1723.0,364,Напитки,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2019-04-01,2030-01-04,Backorder
130,Ленинградская,3002.0,216,Напитки,Способствует улучшению работы пищеварительной системы.,2013-02-04,2019-02-06,Temporarily Unavailable
131,Крымская,2209.0,375,Напитки,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2010-01-08,2015-08-19,Returned
132,Новотерская,8116.0,279,Напитки,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2007-02-01,2010-06-01,Backorder
133,Фанта,4364.0,448,Напитки,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1992-01-07,1993-01-07,Sold
146,Волгодонская,743.0,978,Напитки,Подходит для использования в рационе людей с повышенным давлением.,1998-06-13,2028-04-03,Awaiting Review
148,Марийская,7865.0,327,Напитки,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2016-09-22,2028-02-21,New
